Features,Average Feature Importance,Standard Deviation Importance,Decision
worst concave points,3.936970382899939,0.6267270838222659,Accepted
mean concave points,2.0314453845474016,0.5665748172317587,Accepted
worst perimeter,1.871611737628957,0.510500640875845,Accepted
area error,0.7944424579939725,0.2032356249633725,Accepted
worst area,0.454201558200464,0.23730271053756383,Accepted
worst concavity,0.3829455048767268,0.1752201780598361,Accepted
worst radius,0.17974017905725023,0.2145615930492998,Accepted
worst texture,-0.13920766741543375,0.09981113107625342,Accepted
mean concavity,-0.1401910801992755,0.14759814379798514,Accepted
Max_Shadow,-0.16191831438094173,0.06952252046622523,Shadow
mean texture,-0.2239867182883143,0.08977111583833734,Accepted
mean radius,-0.26161433956226804,0.05236413014974628,Rejected
worst smoothness,-0.28340787030685666,0.02387077468104851,Rejected
radius error,-0.29358542173184565,0.11136785082263558,Rejected
worst symmetry,-0.31377769979486775,0.06932335382303834,Rejected
concavity error,-0.3147377752386946,0.023993287858280254,Rejected
fractal dimension error,-0.3203948665354435,0.022299402753771135,Rejected
mean symmetry,-0.323885815888453,0.02053837227357471,Rejected
concave points error,-0.3283899688245322,0.022112236772114255,Rejected
symmetry error,-0.33497213020934435,0.014793861375088138,Rejected
mean compactness,-0.3357947475368611,0.022510592387788207,Rejected
texture error,-0.33699769414179537,0.01685278416641541,Rejected
mean smoothness,-0.3374771745699163,0.01920274120644606,Rejected
smoothness error,-0.33793903410356035,0.0145925228330369,Rejected
worst fractal dimension,-0.3382622328429882,0.016385292742611683,Rejected
compactness error,-0.3430974779372845,0.017985608897538044,Rejected
mean perimeter,-0.34451618696780417,0.10519181050522532,Rejected
mean fractal dimension,-0.34638928702134997,0.014969280119084265,Rejected
Min_Shadow,-0.3597865742740316,0.009041476129325762,Shadow
worst compactness,-0.3712542344180252,0.08288306243471445,Accepted
mean area,-0.38895522006707295,0.07573466363098284,Accepted
perimeter error,-0.3960556911857262,0.07058082177788919,Tentative
Mean_Shadow,-0.515876552378248,0.06904781635767737,Shadow
Median_Shadow,-0.527877007435573,0.06949174414478462,Shadow
